individual_quintile,area_quintile,population,level,outcome,city_id
1,2,191616,localidad,hrs_d_pm10_it2,bogota_2018
2,2,303859,localidad,hrs_d_pm10_it2,bogota_2018
3,2,117470,localidad,hrs_d_pm10_it2,bogota_2018
4,2,173560,localidad,hrs_d_pm10_it2,bogota_2018
5,2,66875,localidad,hrs_d_pm10_it2,bogota_2018
1,3,204814,localidad,hrs_d_pm10_it2,bogota_2018
2,3,230768,localidad,hrs_d_pm10_it2,bogota_2018
3,3,198998,localidad,hrs_d_pm10_it2,bogota_2018
4,3,303074,localidad,hrs_d_pm10_it2,bogota_2018
5,3,129650,localidad,hrs_d_pm10_it2,bogota_2018
